name,facebook
United Way Worldwide,UnitedWay
Task Force for Global Health,TheTaskForceforGlobalHealth
Feeding America,FeedingAmerica
Salvation Army,SalvationArmyUSA
YMCA of the USA,YMCA
St. Jude Children’s Research Hospital,stjude
Food for the Poor,FoodForThePoor
Boys & Girls Club of America,bgca.clubs
Catholic Charities USA,catholiccharitiesusa
Goodwill Industries International,GoodwillIntl
Habitat for Humanity International,habitat
World Vision,WorldVisionInternational
American Cancer Society,AmericanCancerSociety
Patient Access Network Foundation,PANfoundation
Compassion International,compassionintl
Direct Relief,DirectRelief
Americares Foundation,americares
Lutheran Services in America,LutheranServices
Nature Conservancy,thenatureconservancy
American Heart Association,AmericanHeart
