name,facebook,fan_count,about
United Way Worldwide,UnitedWay,212501,"To live better, we must Live United."
Task Force for Global Health,TheTaskForceforGlobalHealth,1504,"The Task Force for Global Health provides all people with opportunities to lead healthy, productive lives."
Feeding America,FeedingAmerica,603864,Our mission is to feed America's hungry through a nationwide network of member food banks and engage our country in the fight to end hunger.  You can help.
Salvation Army,SalvationArmyUSA,307914,"The Salvation Army is committed to doing the most good for the most people in the most need. The nation's largest faith-based charity, The Salvation Army serves 30 million people each year through a broad array of social services."
YMCA of the USA,YMCA,351368,"The Y: We're for youth development, healthy living and social responsibility."
St. Jude Children’s Research Hospital,stjude,2216537,"Welcome to the St. Jude Children’s Research Hospital Facebook page. Before you post, please review our posting policy located on the About page.
"
Food for the Poor,FoodForThePoor,370988,Food For The  Poor feeds millions of hungry people throughout the countries we serve. www.foodforthepoor.org
Boys & Girls Club of America,bgca.clubs,204625,Great Futures Start Here! 
Catholic Charities USA,catholiccharitiesusa,95090,Working to reduce poverty in America for over 100 years.
Goodwill Industries International,GoodwillIntl,180646,"501(c)3 nonprofit celebrating 115 years of helping individuals, families and communities through the power of work. "
Habitat for Humanity International,habitat,557822,"Help build strength, stability, and self-reliance through shelter. "
World Vision,WorldVisionInternational,92592,"World Vision is a child-focused, aid & development agency. We work with vulnerable communities around the world to overcome poverty & injustice"
American Cancer Society,AmericanCancerSociety,1160690,"For cancer information, call 1-800-227-2345 anytime, day or night, or visit www.cancer.org "
Patient Access Network Foundation,PANfoundation,9412,We envision a nation in which everyone can get the health care they need.
Compassion International,compassionintl,447526,Releasing children from poverty in Jesus' name www.compassion.com
Direct Relief,DirectRelief,142798,Direct Relief is a medical aid organization that works to improve the health and lives of people affected by poverty or emergencies. 
Americares Foundation,americares,28865,"Americares saves lives and improves health for people affected by poverty or disaster so they can reach their full potential. For more information, visit Americares.org"
Lutheran Services in America,LutheranServices,900,We're called to love and serve our neighbors.
Nature Conservancy,thenatureconservancy,1324742,Protecting nature. Preserving life. https://nature.org
American Heart Association,AmericanHeart,1010072,Welcome to our official Facebook page! We want to help you live healthier! Check out our tips on eating healthy & becoming physically active.
